   Município;Região Administrativa;Região de Governo;Região Metropolitana;
"Flórida Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Florínia";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Franca";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Francisco Morato";"-";"-";"Região Metropolitana de São Paulo";
"Franco da Rocha";"-";"-";"Região Metropolitana de São Paulo";
"Gabriel Monteiro";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Gália";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Garça";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Gastão Vidigal";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Gavião Peixoto";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"General Salgado";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Getulina";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Glicério";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Guaiçara";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guaimbê";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guaíra";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Guapiaçu";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Guapiara";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Guará";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Guaraçaí";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Guaraci";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Guarani d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Guarantã";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guararapes";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Guararema";"-";"-";"Região Metropolitana de São Paulo";
"Guaratinguetá";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Guareí";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Guariba";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Guarujá";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Guarulhos";"-";"-";"Região Metropolitana de São Paulo";
"Guatapará";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Guzolândia";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Herculândia";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Holambra";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Hortolândia";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Iacanga";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Iacri";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Iaras";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Ibaté";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Ibirá";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Ibirarema";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Ibitinga";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Ibiúna";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Icém";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Iepê";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Igaraçu do Tietê";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Igarapava";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Igaratá";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Iguape";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Ilha Comprida";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Ilha Solteira";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Ilhabela";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Indaiatuba";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Indiana";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Indiaporã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Inúbia Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Ipaussu";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Iperó";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Ipeúna";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Ipiguá";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Iporanga";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Ipuã";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Iracemápolis";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Irapuã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Irapuru";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Itaberá";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itaí";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itajobi";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Itaju";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Itanhaém";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Itaóca";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itapecerica da Serra";"-";"-";"Região Metropolitana de São Paulo";
"Itapetininga";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Itapeva";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itapevi";"-";"-";"Região Metropolitana de São Paulo";
"Itapira";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Itapirapuã Paulista";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itápolis";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Itaporanga";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itapuí";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Itapura";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Itaquaquecetuba";"-";"-";"Região Metropolitana de São Paulo";
"Itararé";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itariri";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Itatiba";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"Região Metropolitana de Campinas";
"Itatinga";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
